name,position,team,season,games,fantasy_points_ppr,targets,carries,receiving_yards,rushing_yards,receptions,receiving_tds,rushing_tds,passing_yards,passing_tds,interceptions,clean_name,player_key,avg_fantasy_points_3yr,avg_targets_3yr,avg_carries_3yr,performance_trend_pct,consistency_score,seasons_played,total_games,avg_opportunity,catch_rate,yards_per_target,total_touches,yards_per_touch,passing_efficiency,points_per_game,opportunity_share
T.MCLAURIN,WR,WAS,2023,16.0,256.6,69.0,1.0,1045.0,1.0,80.0,12.0,0.0,0.0,0.0,0.0,T.MCLAURIN,T.MCLAURIN_WR,219.4,80.0,1.0,40.834248079034055,4.170409349256142,2,31.0,81.0,1.1594202898550725,15.144927536231885,0.0,0.0,0.0,16.0375,70.0
T.HILL,WR,MIA,2023,16.0,152.8,100.0,0.0,698.0,0.0,59.0,4.0,0.0,0.0,0.0,0.0,T.HILL,T.HILL_WR,130.55,88.5,0.0,41.08956602031395,4.148889450961966,2,31.0,88.5,0.59,6.98,0.0,0.0,0.0,9.55,100.0
K.WILLIAMS,WR,LA,2023,16.0,222.8,40.0,305.0,192.0,986.0,33.0,2.0,10.0,0.0,0.0,0.0,K.WILLIAMS,K.WILLIAMS_WR,218.8,36.5,266.0,3.7243947858472994,38.67874093090415,2,31.0,302.5,0.825,4.8,0.0,0.0,0.0,13.925,345.0
D.ACHANE,WR,MIA,2023,16.0,226.8,74.0,177.0,523.0,775.0,55.0,4.0,3.0,0.0,0.0,0.0,D.ACHANE,D.ACHANE_WR,209.0,69.0,168.0,18.619246861924697,8.302545913931928,2,31.0,237.0,0.7432432432432432,7.0675675675675675,0.0,0.0,0.0,14.175,251.0
J.WILLIAMS,WR,DEN,2023,16.0,220.3,72.0,95.0,786.0,407.0,65.0,3.0,3.0,0.0,0.0,0.0,J.WILLIAMS,J.WILLIAMS_WR,205.05,76.0,80.0,16.069546891464697,9.507688228347645,2,31.0,156.0,0.9027777777777778,10.916666666666666,0.0,0.0,0.0,13.76875,167.0
M.NABERS,WR,NYG,2023,16.0,206.6,141.0,3.0,945.0,1.0,82.0,5.0,0.0,0.0,0.0,0.0,M.NABERS,M.NABERS_WR,206.55,128.5,3.0,0.04842615012106262,2921.0581130817936,2,31.0,131.5,0.5815602836879432,6.702127659574468,0.0,0.0,0.0,12.9125,144.0
D.LONDON,WR,ATL,2023,16.0,197.0,151.0,0.0,890.0,0.0,78.0,5.0,0.0,0.0,0.0,0.0,D.LONDON,D.LONDON_WR,198.8,138.5,0.0,-1.7946161515453611,78.09601561104772,2,31.0,138.5,0.5165562913907285,5.894039735099338,0.0,0.0,0.0,12.3125,151.0
B.THOMAS,WR,JAX,2023,16.0,195.4,94.0,4.0,837.0,37.0,60.0,8.0,0.0,0.0,0.0,0.0,B.THOMAS,B.THOMAS_WR,193.85000000000002,90.0,3.5,1.6120644825793,88.43396744065325,2,31.0,93.5,0.6382978723404256,8.904255319148936,0.0,0.0,0.0,12.2125,98.0
L.MCCONKEY,WR,LAC,2023,16.0,207.1,114.0,0.0,941.0,0.0,77.0,6.0,0.0,0.0,0.0,0.0,L.MCCONKEY,L.MCCONKEY_WR,177.64999999999998,95.5,0.0,39.74358974358975,4.265450583286592,2,31.0,95.5,0.6754385964912281,8.25438596491228,0.0,0.0,0.0,12.94375,114.0
A.KAMARA,RB,NO,2023,16.0,191.9,71.0,155.0,447.0,502.0,55.0,2.0,5.0,0.0,0.0,0.0,A.KAMARA,A.KAMARA_RB,176.55,61.0,146.5,19.044665012406963,8.132879623354066,2,31.0,207.5,0.0,0.0,226.0,4.199115044247788,0.0,11.99375,226.0
N.COLLINS,WR,HOU,2023,16.0,216.9,88.0,0.0,1089.0,0.0,66.0,7.0,0.0,0.0,0.0,0.0,N.COLLINS,N.COLLINS_WR,194.55,92.0,0.0,25.958188153310118,6.15515097448961,2,31.0,92.0,0.75,12.375,0.0,0.0,0.0,13.55625,88.0
B.BOWERS,WR,LV,2023,16.0,209.7,141.0,3.0,1009.0,8.0,90.0,3.0,0.0,0.0,0.0,0.0,B.BOWERS,B.BOWERS_WR,200.05,123.5,3.0,10.13655462184873,14.658726588224765,2,31.0,126.5,0.6382978723404256,7.156028368794326,0.0,0.0,0.0,13.10625,144.0
C.LAMB,WR,DAL,2023,16.0,235.3,134.0,0.0,973.0,0.0,90.0,8.0,0.0,0.0,0.0,0.0,C.LAMB,C.LAMB_WR,208.95,113.0,0.0,28.86089813800658,5.6072091813635305,2,31.0,113.0,0.6716417910447762,7.2611940298507465,0.0,0.0,0.0,14.70625,134.0
B.IRVING,WR,TB,2023,16.0,190.6,39.0,178.0,272.0,944.0,27.0,0.0,7.0,0.0,0.0,0.0,B.IRVING,B.IRVING_WR,182.25,33.5,171.0,9.603220241518107,15.433558188173457,2,31.0,204.5,0.6923076923076923,6.9743589743589745,0.0,0.0,0.0,11.9125,217.0
J.CONNER,WR,ARI,2023,16.0,193.0,48.0,173.0,371.0,879.0,32.0,1.0,5.0,0.0,0.0,0.0,J.CONNER,J.CONNER_WR,194.85,43.0,149.5,-1.8810371123538328,74.47554395362118,2,31.0,192.5,0.6666666666666666,7.729166666666667,0.0,0.0,0.0,12.0625,221.0
J.MIXON,RB,HOU,2023,16.0,191.8,49.0,196.0,253.0,885.0,24.0,0.0,9.0,0.0,0.0,0.0,J.MIXON,J.MIXON_RB,192.2,46.5,199.0,-0.4153686396676962,339.76480836014326,2,31.0,245.5,0.0,0.0,245.0,4.644897959183673,0.0,11.9875,245.0
J.TAYLOR,RB,IND,2023,16.0,195.7,27.0,235.0,105.0,1152.0,16.0,0.0,9.0,0.0,0.0,0.0,J.TAYLOR,J.TAYLOR_RB,180.3,25.5,219.5,18.67798665858095,8.278659262852896,2,31.0,245.0,0.0,0.0,262.0,4.797709923664122,0.0,12.23125,262.0
G.WILSON,WR,NYJ,2023,16.0,206.5,117.0,1.0,702.0,3.0,82.0,9.0,0.0,0.0,0.0,0.0,G.WILSON,G.WILSON_WR,188.95,105.0,1.0,20.4784130688448,7.612981555851747,2,31.0,106.0,0.7008547008547008,6.0,0.0,0.0,0.0,12.90625,118.0
J.COOK,RB,BUF,2023,16.0,212.1,31.0,164.0,240.0,771.0,27.0,1.0,13.0,0.0,0.0,0.0,J.COOK,J.COOK_RB,160.8,23.5,125.0,93.6986301369863,2.2164282731929212,2,31.0,148.5,0.0,0.0,195.0,5.184615384615385,0.0,13.25625,195.0
M.EVANS,WR,TB,2023,16.0,174.0,111.0,0.0,680.0,0.0,64.0,7.0,0.0,0.0,0.0,0.0,M.EVANS,M.EVANS_WR,171.6,95.0,0.0,2.8368794326241202,50.55813485483803,2,31.0,95.0,0.5765765765765766,6.126126126126126,0.0,0.0,0.0,10.875,111.0
A.JONES,WR,MIN,2023,16.0,184.6,57.0,223.0,268.0,888.0,45.0,1.0,3.0,0.0,0.0,0.0,A.JONES,A.JONES_WR,164.39999999999998,53.5,172.5,28.01664355062414,5.754869050844969,2,31.0,226.0,0.7894736842105263,4.701754385964913,0.0,0.0,0.0,11.5375,280.0
D.ADAMS,WR,NYJ,2023,16.0,199.7,117.0,0.0,907.0,0.0,79.0,5.0,0.0,0.0,0.0,0.0,D.ADAMS,D.ADAMS_WR,193.1,109.0,0.0,7.077747989276133,20.688230219260976,2,31.0,109.0,0.6752136752136753,7.752136752136752,0.0,0.0,0.0,12.48125,117.0
C.BROWN,WR,CIN,2023,16.0,183.5,54.0,189.0,197.0,898.0,44.0,2.0,3.0,0.0,0.0,0.0,C.BROWN,C.BROWN_WR,166.85,45.0,181.5,22.170439414114522,7.085931918376902,2,31.0,226.5,0.8148148148148148,3.6481481481481484,0.0,0.0,0.0,11.46875,243.0
B.HALL,WR,NYJ,2023,16.0,171.4,63.0,149.0,381.0,633.0,40.0,2.0,3.0,0.0,0.0,0.0,B.HALL,B.HALL_WR,158.7,51.5,130.0,17.397260273972606,8.83605087986654,2,31.0,181.5,0.6349206349206349,6.0476190476190474,0.0,0.0,0.0,10.7125,212.0
T.MCBRIDE,WR,ARI,2023,16.0,185.2,129.0,0.0,892.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,T.MCBRIDE,T.MCBRIDE_WR,164.35,115.0,0.0,29.059233449477347,5.573764963453675,2,31.0,115.0,0.6976744186046512,6.9147286821705425,0.0,0.0,0.0,11.575,129.0
G.KITTLE,TE,SF,2023,16.0,197.3,93.0,0.0,963.0,0.0,71.0,5.0,0.0,0.0,0.0,0.0,G.KITTLE,G.KITTLE_TE,189.7,96.0,0.0,8.347062053816593,17.649757419879986,2,31.0,96.0,0.7634408602150538,10.35483870967742,0.0,0.0,0.0,12.33125,93.0
C.SUTTON,WR,DEN,2023,16.0,182.5,115.0,0.0,885.0,0.0,70.0,4.0,0.0,0.0,0.0,0.0,C.SUTTON,C.SUTTON_WR,170.2,106.5,0.0,15.579480683977195,9.784518224223609,2,31.0,106.5,0.6086956521739131,7.695652173913044,0.0,0.0,0.0,11.40625,115.0
A.BROWN,WR,PHI,2023,16.0,176.9,70.0,0.0,999.0,0.0,53.0,4.0,0.0,0.0,0.0,0.0,A.BROWN,A.BROWN_WR,164.45,71.5,0.0,16.381578947368425,9.34005704145604,2,31.0,71.5,0.7571428571428571,14.271428571428572,0.0,0.0,0.0,11.05625,70.0
J.ALLEN,QB,BUF,2023,16.0,94.6,0.0,66.0,0.0,406.0,0.0,0.0,9.0,0.0,0.0,0.0,J.ALLEN,J.ALLEN_QB,85.25,0.0,65.0,24.637681159420275,6.447150063759702,2,31.0,65.0,0.0,0.0,0.0,0.0,0.0,5.9125,66.0
J.JEUDY,WR,CLE,2023,16.0,182.0,94.0,0.0,960.0,0.0,68.0,3.0,0.0,0.0,0.0,0.0,J.JEUDY,J.JEUDY_WR,169.85,98.5,0.0,15.409004438807871,9.884945414365022,2,31.0,98.5,0.723404255319149,10.212765957446809,0.0,0.0,0.0,11.375,94.0
T.KELCE,TE,KC,2023,16.0,132.4,93.0,0.0,734.0,0.0,47.0,2.0,0.0,0.0,0.0,0.0,T.KELCE,T.KELCE_TE,125.5,86.0,0.0,11.63575042158517,12.861145078103137,2,31.0,86.0,0.5053763440860215,7.89247311827957,0.0,0.0,0.0,8.275,93.0
P.NACUA,WR,LA,2023,16.0,228.7,100.0,0.0,1337.0,0.0,77.0,3.0,0.0,0.0,0.0,0.0,P.NACUA,P.NACUA_WR,206.14999999999998,95.5,0.0,24.564270152505443,6.464304343308504,2,31.0,95.5,0.77,13.37,0.0,0.0,0.0,14.29375,100.0
D.SMITH,WR,PHI,2023,16.0,158.4,68.0,0.0,774.0,0.0,45.0,6.0,0.0,0.0,0.0,0.0,D.SMITH,D.SMITH_WR,148.55,70.5,0.0,14.203316510454231,10.664031710178836,2,31.0,70.5,0.6617647058823529,11.382352941176471,0.0,0.0,0.0,9.9,68.0
T.HIGGINS,WR,CIN,2023,16.0,181.9,79.0,0.0,799.0,0.0,66.0,6.0,0.0,0.0,0.0,0.0,T.HIGGINS,T.HIGGINS_WR,168.95,78.0,0.0,16.602564102564106,9.225149859572754,2,31.0,78.0,0.8354430379746836,10.113924050632912,0.0,0.0,0.0,11.36875,79.0
C.HUBBARD,WR,CAR,2023,16.0,148.3,48.0,190.0,144.0,709.0,27.0,0.0,6.0,0.0,0.0,0.0,C.HUBBARD,C.HUBBARD_WR,151.5,45.5,154.5,-4.1370394311570635,33.47708667180073,2,31.0,200.0,0.5625,3.0,0.0,0.0,0.0,9.26875,238.0
G.PICKENS,WR,PIT,2023,16.0,166.4,79.0,1.0,814.0,0.0,55.0,5.0,0.0,0.0,0.0,0.0,G.PICKENS,G.PICKENS_WR,162.5,66.0,1.0,4.918032786885253,29.46278254943944,2,31.0,67.0,0.6962025316455697,10.30379746835443,0.0,0.0,0.0,10.4,80.0
J.ADDISON,WR,MIN,2023,16.0,170.0,80.0,2.0,846.0,14.0,48.0,6.0,0.0,0.0,0.0,0.0,J.ADDISON,J.ADDISON_WR,158.7,71.0,1.5,15.332428765264583,9.930782847283638,2,31.0,72.5,0.6,10.575,0.0,0.0,0.0,10.625,82.0
D.METCALF,WR,SEA,2023,16.0,183.0,81.0,0.0,950.0,0.0,58.0,5.0,0.0,0.0,0.0,0.0,D.METCALF,D.METCALF_WR,146.65,79.0,0.0,65.9111514052584,2.8527430388172546,2,31.0,79.0,0.7160493827160493,11.728395061728396,0.0,0.0,0.0,11.4375,81.0
J.REED,WR,GB,2023,16.0,157.1,50.0,14.0,685.0,116.0,47.0,5.0,0.0,0.0,0.0,0.0,J.REED,J.REED_WR,149.6,44.0,13.5,10.555946516537649,14.104423262067668,2,31.0,57.5,0.94,13.7,0.0,0.0,0.0,9.81875,64.0
Z.FLOWERS,WR,BAL,2023,16.0,140.4,81.0,7.0,687.0,37.0,50.0,3.0,0.0,0.0,0.0,0.0,Z.FLOWERS,Z.FLOWERS_WR,136.3,91.5,7.0,6.202723146747366,23.506988847738107,2,31.0,98.5,0.6172839506172839,8.481481481481481,0.0,0.0,0.0,8.775,88.0
Z.ERTZ,WR,WAS,2023,16.0,149.5,67.0,0.0,635.0,0.0,56.0,5.0,0.0,0.0,0.0,0.0,Z.ERTZ,Z.ERTZ_WR,138.3,68.5,0.0,17.623918174665622,8.73150605697317,2,31.0,68.5,0.835820895522388,9.477611940298507,0.0,0.0,0.0,9.34375,67.0
D.SWIFT,WR,CHI,2023,16.0,170.2,39.0,159.0,362.0,780.0,32.0,0.0,4.0,0.0,0.0,0.0,D.SWIFT,D.SWIFT_WR,152.7,32.5,138.0,25.887573964497047,6.1700117421249026,2,31.0,170.5,0.8205128205128205,9.282051282051283,0.0,0.0,0.0,10.6375,198.0
C.RIDLEY,WR,TEN,2023,16.0,146.3,96.0,6.0,714.0,39.0,47.0,4.0,0.0,0.0,0.0,0.0,C.RIDLEY,C.RIDLEY_WR,142.75,94.5,5.0,5.100574712643695,28.43366000405052,2,31.0,99.5,0.4895833333333333,7.4375,0.0,0.0,0.0,9.14375,102.0
T.POLLARD,WR,TEN,2023,16.0,144.4,54.0,189.0,214.0,740.0,31.0,0.0,3.0,0.0,0.0,0.0,T.POLLARD,T.POLLARD_WR,137.65,48.0,153.0,10.313216195569137,14.41974050819678,2,31.0,201.0,0.5740740740740741,3.962962962962963,0.0,0.0,0.0,9.025,243.0
R.WHITE,TE,TB,2023,16.0,153.6,34.0,94.0,329.0,517.0,33.0,4.0,2.0,0.0,0.0,0.0,R.WHITE,R.WHITE_TE,141.95,37.5,98.5,17.881811204911727,8.615777475487596,2,31.0,136.0,0.9705882352941176,9.676470588235293,0.0,0.0,0.0,9.6,128.0
D.MONTGOMERY,WR,DET,2023,16.0,144.1,25.0,149.0,243.0,478.0,30.0,0.0,7.0,0.0,0.0,0.0,D.MONTGOMERY,D.MONTGOMERY_WR,142.6,26.5,133.5,2.1261516654854713,67.22228466480112,2,31.0,160.0,1.2,9.72,0.0,0.0,0.0,9.00625,174.0
X.WORTHY,WR,KC,2023,16.0,137.7,85.0,13.0,599.0,78.0,46.0,3.0,1.0,0.0,0.0,0.0,X.WORTHY,X.WORTHY_WR,134.95,82.5,11.5,4.160363086232981,34.69965822586349,2,31.0,94.0,0.5411764705882353,7.047058823529412,0.0,0.0,0.0,8.60625,98.0
J.MEYERS,WR,LV,2023,16.0,164.1,105.0,0.0,839.0,2.0,74.0,1.0,0.0,0.0,0.0,0.0,J.MEYERS,J.MEYERS_WR,144.7,105.5,0.0,30.965682362330405,5.274141816375949,2,31.0,105.5,0.7047619047619048,7.9904761904761905,0.0,0.0,0.0,10.25625,105.0
K.SHAKIR,WR,BUF,2023,16.0,155.0,91.0,1.0,728.0,2.0,76.0,1.0,0.0,0.0,0.0,0.0,K.SHAKIR,K.SHAKIR_WR,138.7,93.5,1.0,26.63398692810457,6.016914757703935,2,31.0,94.5,0.8351648351648352,8.0,0.0,0.0,0.0,9.6875,92.0
N.HARRIS,WR,PIT,2023,16.0,144.5,40.0,245.0,217.0,848.0,26.0,0.0,2.0,0.0,0.0,0.0,N.HARRIS,N.HARRIS_WR,150.5,39.5,204.0,-7.667731629392971,17.736595094762567,2,31.0,243.5,0.65,5.425,0.0,0.0,0.0,9.03125,285.0
J.JENNINGS,WR,SF,2023,16.0,145.6,96.0,0.0,736.0,0.0,54.0,3.0,0.0,0.0,0.0,0.0,J.JENNINGS,J.JENNINGS_WR,127.3,88.0,0.0,33.57798165137614,4.918835696450684,2,31.0,88.0,0.5625,7.666666666666667,0.0,0.0,0.0,9.1,96.0
R.DOWDLE,WR,DAL,2023,16.0,156.6,40.0,157.0,231.0,905.0,25.0,2.0,1.0,0.0,0.0,0.0,R.DOWDLE,R.DOWDLE_WR,143.95,32.5,162.5,19.268849961919255,8.04648388551807,2,31.0,195.0,0.625,5.775,0.0,0.0,0.0,9.7875,197.0
W.ROBINSON,WR,NYG,2023,16.0,140.9,108.0,2.0,466.0,13.0,69.0,4.0,0.0,0.0,0.0,0.0,W.ROBINSON,W.ROBINSON_WR,130.5,98.5,1.5,17.318900915903424,8.872830283158116,2,31.0,100.0,0.6388888888888888,4.314814814814815,0.0,0.0,0.0,8.80625,110.0
M.HARRISON,WR,ARI,2023,16.0,157.9,103.0,0.0,769.0,0.0,45.0,6.0,0.0,0.0,0.0,0.0,M.HARRISON,M.HARRISON_WR,140.0,84.5,0.0,29.32022932022933,5.5304440986657335,2,31.0,84.5,0.4368932038834951,7.466019417475728,0.0,0.0,0.0,9.86875,103.0
J.DOWNS,WR,IND,2023,16.0,152.4,77.0,0.0,734.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,J.DOWNS,J.DOWNS_WR,140.05,76.5,0.0,19.342208300704776,8.018648154265263,2,31.0,76.5,0.7142857142857143,9.532467532467532,0.0,0.0,0.0,9.525,77.0
M.ANDREWS,TE,BAL,2023,16.0,146.2,56.0,7.0,513.0,9.0,52.0,7.0,0.0,0.0,0.0,0.0,M.ANDREWS,M.ANDREWS_TE,134.25,52.0,6.0,19.542109566639404,7.943856516677325,2,31.0,58.0,0.9285714285714286,9.160714285714286,0.0,0.0,0.0,9.1375,63.0
R.BATEMAN,TE,BAL,2023,16.0,147.8,59.0,0.0,648.0,0.0,35.0,8.0,0.0,0.0,0.0,0.0,R.BATEMAN,R.BATEMAN_TE,145.7,54.0,0.0,2.924791086350987,49.05974191375217,2,31.0,54.0,0.5932203389830508,10.983050847457626,0.0,0.0,0.0,9.2375,59.0
D.MOONEY,WR,ATL,2023,16.0,154.9,100.0,0.0,769.0,0.0,48.0,5.0,0.0,0.0,0.0,0.0,D.MOONEY,D.MOONEY_WR,132.4,78.5,0.0,40.94631483166515,4.160930570182173,2,31.0,78.5,0.48,7.69,0.0,0.0,0.0,9.68125,100.0
K.WALKER,WR,SEA,2023,16.0,139.5,39.0,91.0,267.0,458.0,31.0,0.0,6.0,0.0,0.0,0.0,K.WALKER,K.WALKER_WR,129.1,34.5,96.0,17.523167649536646,8.777642831844547,2,31.0,130.5,0.7948717948717948,6.846153846153846,0.0,0.0,0.0,8.71875,130.0
T.TRACY,WR,NYG,2023,16.0,141.6,37.0,160.0,239.0,667.0,27.0,0.0,4.0,0.0,0.0,0.0,T.TRACY,T.TRACY_WR,119.15,35.0,136.0,46.43226473629782,3.752862938903214,2,31.0,171.0,0.7297297297297297,6.45945945945946,0.0,0.0,0.0,8.85,197.0
J.HURTS,WR,PHI,2023,16.0,135.0,1.0,130.0,0.0,450.0,0.0,0.0,15.0,0.0,0.0,0.0,J.HURTS,J.HURTS_WR,136.2,1.0,118.0,-1.7467248908296984,80.25661966467295,2,31.0,119.0,0.0,0.0,0.0,0.0,0.0,8.4375,131.0
K.ALLEN,QB,CHI,2023,16.0,140.8,109.0,0.0,528.0,0.0,58.0,5.0,0.0,0.0,0.0,0.0,K.ALLEN,K.ALLEN_QB,137.05,105.0,0.0,5.6264066016504115,25.842395829764357,2,31.0,105.0,0.0,0.0,0.0,0.0,0.0,8.8,109.0
C.KUPP,WR,LA,2023,16.0,146.4,92.0,1.0,658.0,6.0,56.0,4.0,0.0,0.0,0.0,0.0,C.KUPP,C.KUPP_WR,131.85,79.5,1.0,24.808184143222515,6.4076995944636606,2,31.0,80.5,0.6086956521739131,7.1521739130434785,0.0,0.0,0.0,9.15,93.0
J.DOBBINS,WR,LAC,2023,16.0,149.1,29.0,157.0,109.0,682.0,28.0,0.0,7.0,0.0,0.0,0.0,J.DOBBINS,J.DOBBINS_WR,130.6,28.5,119.5,33.00624442462088,4.9917916552953026,2,31.0,148.0,0.9655172413793104,3.7586206896551726,0.0,0.0,0.0,9.31875,186.0
A.PIERCE,WR,IND,2023,16.0,157.2,51.0,0.0,822.0,0.0,33.0,7.0,0.0,0.0,0.0,0.0,A.PIERCE,A.PIERCE_WR,139.75,52.5,0.0,28.5363859362224,5.662932531279085,2,31.0,52.5,0.6470588235294118,16.11764705882353,0.0,0.0,0.0,9.825,51.0
Z.CHARBONNET,RB,SEA,2023,16.0,104.6,38.0,104.0,178.0,288.0,28.0,0.0,5.0,0.0,0.0,0.0,Z.CHARBONNET,Z.CHARBONNET_RB,104.1,34.5,94.0,0.9652509652509652,147.21963184303917,2,31.0,128.5,0.0,0.0,142.0,3.2816901408450705,0.0,6.5375,142.0
S.LAPORTA,WR,DET,2023,16.0,118.7,66.0,0.0,547.0,0.0,40.0,4.0,0.0,0.0,0.0,0.0,S.LAPORTA,S.LAPORTA_WR,118.30000000000001,57.5,0.0,0.6785411365564012,209.12683053592218,2,31.0,57.5,0.6060606060606061,8.287878787878787,0.0,0.0,0.0,7.41875,66.0
P.FREIERMUTH,WR,PIT,2023,16.0,123.0,63.0,0.0,510.0,0.0,42.0,5.0,0.0,0.0,0.0,0.0,P.FREIERMUTH,P.FREIERMUTH_WR,124.75,59.5,0.0,-2.766798418972332,50.406611973155314,2,31.0,59.5,0.6666666666666666,8.095238095238095,0.0,0.0,0.0,7.6875,63.0
Q.JOHNSTON,WR,LAC,2023,16.0,140.0,68.0,3.0,589.0,11.0,44.0,6.0,0.0,0.0,0.0,0.0,Q.JOHNSTON,Q.JOHNSTON_WR,129.2,68.5,2.5,18.24324324324324,8.459092234194626,2,31.0,71.0,0.6470588235294118,8.661764705882353,0.0,0.0,0.0,8.75,71.0
D.SAMUEL,WR,SF,2023,16.0,136.6,55.0,40.0,649.0,127.0,41.0,3.0,0.0,0.0,0.0,0.0,D.SAMUEL,D.SAMUEL_WR,132.2,61.0,35.5,6.885758998435053,21.245344652923094,2,31.0,96.5,0.7454545454545455,11.8,0.0,0.0,0.0,8.5375,95.0
T.KRAFT,WR,GB,2023,16.0,137.1,60.0,4.0,741.0,10.0,38.0,4.0,0.0,0.0,0.0,0.0,T.KRAFT,T.KRAFT_WR,124.25,54.0,3.5,23.070017953321354,6.837199810305725,2,31.0,57.5,0.6333333333333333,12.35,0.0,0.0,0.0,8.56875,64.0
K.HUNT,WR,KC,2023,16.0,127.7,20.0,136.0,125.0,672.0,18.0,0.0,5.0,0.0,0.0,0.0,K.HUNT,K.HUNT_WR,123.30000000000001,24.0,153.5,7.40117746005046,19.815060481886672,2,31.0,177.5,0.9,6.25,0.0,0.0,0.0,7.98125,156.0
J.HILL,WR,BAL,2023,16.0,129.0,50.0,41.0,407.0,203.0,50.0,3.0,0.0,0.0,0.0,0.0,J.HILL,J.HILL_WR,113.55,45.0,39.0,31.49847094801224,5.196891586002101,2,31.0,84.0,1.0,8.14,0.0,0.0,0.0,8.0625,91.0
L.JACKSON,QB,BAL,2023,16.0,79.3,0.0,101.0,0.0,673.0,0.0,0.0,2.0,0.0,0.0,0.0,L.JACKSON,L.JACKSON_QB,89.0,0.0,98.0,-19.655521783181364,6.487886961402341,2,31.0,98.0,0.0,0.0,0.0,0.0,0.0,4.95625,101.0
M.PITTMAN,WR,IND,2023,16.0,144.9,87.0,0.0,729.0,0.0,60.0,2.0,0.0,0.0,0.0,0.0,M.PITTMAN,M.PITTMAN_WR,131.15,89.0,0.0,23.42419080068143,6.744513043826597,2,31.0,89.0,0.6896551724137931,8.379310344827585,0.0,0.0,0.0,9.05625,87.0
